Kode,Nama Bahan,description
DP044,Pelecing kangkung," termasuk dalam kategori Olahan Sayuran. Bahan ini per 100 gram-nya memiliki 75 kalori, 2.5 gram protein, 2.8 gram lemak, 10.0 gram karbohidrat, dan 5.4 gram serat."
DP045,Purundawa," termasuk dalam kategori Olahan Sayuran. Bahan ini per 100 gram-nya memiliki 25 kalori, 1.5 gram protein, 0.5 gram lemak, 3.6 gram karbohidrat, dan 1.7 gram serat."
DP046,Rujak cingur," termasuk dalam kategori Olahan Sayuran. Bahan ini per 100 gram-nya memiliki 153 kalori, 11.3 gram protein, 8.4 gram lemak, 8.0 gram karbohidrat, dan 1.4 gram serat."
DP047,Sayur asem," termasuk dalam kategori Olahan Sayuran. Bahan ini per 100 gram-nya memiliki 29 kalori, 0.7 gram protein, 0.6 gram lemak, 5.0 gram karbohidrat, dan 0.6 gram serat."
DP048,Sayur bunga pepaya," termasuk dalam kategori Olahan Sayuran. Bahan ini per 100 gram-nya memiliki 49 kalori, 1.7 gram protein, 0.3 gram lemak, 9.8 gram karbohidrat, dan 2.7 gram serat."
DP049,Sayur garu," termasuk dalam kategori Olahan Sayuran. Bahan ini per 100 gram-nya memiliki 178 kalori, 2.6 gram protein, 13.9 gram lemak, 10.6 gram karbohidrat, dan 8.4 gram serat."
DP050,Sayur kohu-kohu," termasuk dalam kategori Olahan Sayuran. Bahan ini per 100 gram-nya memiliki 133 kalori, 7.3 gram protein, 6.6 gram lemak, 11.2 gram karbohidrat, dan 1.2 gram serat."
DP051,Sayur lilin-terubuk," termasuk dalam kategori Olahan Sayuran. Bahan ini per 100 gram-nya memiliki 36 kalori, 2.7 gram protein, 0.7 gram lemak, 4.8 gram karbohidrat, dan 1.4 gram serat."
DP052,Sayur ndusuk," termasuk dalam kategori Olahan Sayuran. Bahan ini per 100 gram-nya memiliki 49 kalori, 3.1 gram protein, 2.5 gram lemak, 3.6 gram karbohidrat, dan 0.0 gram serat."
DP053,Sayur sop," termasuk dalam kategori Olahan Sayuran. Bahan ini per 100 gram-nya memiliki 27 kalori, 1.3 gram protein, 2.0 gram lemak, 1.0 gram karbohidrat, dan 0.3 gram serat."
DP054,Sayur umbut kelapa," termasuk dalam kategori Olahan Sayuran. Bahan ini per 100 gram-nya memiliki 67 kalori, 5.2 gram protein, 2.9 gram lemak, 5.1 gram karbohidrat, dan 1.4 gram serat."
DP055,Sayur umbut rotan," termasuk dalam kategori Olahan Sayuran. Bahan ini per 100 gram-nya memiliki 57 kalori, 5.4 gram protein, 2.6 gram lemak, 3.1 gram karbohidrat, dan 1.6 gram serat."
DP056,Shabu-shabu," termasuk dalam kategori Olahan Sayuran. Bahan ini per 100 gram-nya memiliki 88 kalori, 3.2 gram protein, 8.0 gram lemak, 0.8 gram karbohidrat, dan 0.9 gram serat."
DP057,Semur jengkol," termasuk dalam kategori Olahan Sayuran. Bahan ini per 100 gram-nya memiliki 212 kalori, 6.0 gram protein, 10.0 gram lemak, 29.1 gram karbohidrat, dan 0.0 gram serat."
DP058,Tinira ninahu nggaluku," termasuk dalam kategori Olahan Sayuran. Bahan ini per 100 gram-nya memiliki 33 kalori, 1.2 gram protein, 1.3 gram lemak, 4.1 gram karbohidrat, dan 3.1 gram serat."
DP059,Tumis bayam bersantan," termasuk dalam kategori Olahan Sayuran. Bahan ini per 100 gram-nya memiliki 48 kalori, 1.4 gram protein, 4.2 gram lemak, 2.6 gram karbohidrat, dan 0.5 gram serat."
DP060,Waluh balamak," termasuk dalam kategori Olahan Sayuran. Bahan ini per 100 gram-nya memiliki 45 kalori, 0.8 gram protein, 0.9 gram lemak, 8.1 gram karbohidrat, dan 7.9 gram serat."
DP061,Woku ubi," termasuk dalam kategori Olahan Sayuran. Bahan ini per 100 gram-nya memiliki 143 kalori, 3.1 gram protein, 7.8 gram lemak, 15.0 gram karbohidrat, dan 7.0 gram serat."
ER001,"Alpukat, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 85 kalori, 0.9 gram protein, 6.5 gram lemak, 7.7 gram karbohidrat, dan 0.0 gram serat."
ER002,"Anggur hutan, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 30 kalori, 0.5 gram protein, 0.2 gram lemak, 6.8 gram karbohidrat, dan 1.2 gram serat."
ER003,"Apel malang, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 57 kalori, 0.5 gram protein, 0.4 gram lemak, 12.8 gram karbohidrat, dan 0.8 gram serat."
ER004,"Apel, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 58 kalori, 0.3 gram protein, 0.4 gram lemak, 14.9 gram karbohidrat, dan 2.6 gram serat."
ER005,"Arbai, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 37 kalori, 0.8 gram protein, 0.5 gram lemak, 8.3 gram karbohidrat, dan 0.0 gram serat."
ER006,"Belimbing, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 36 kalori, 0.4 gram protein, 0.4 gram lemak, 8.8 gram karbohidrat, dan 3.2 gram serat."
ER007,"Biwah, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 51 kalori, 0.3 gram protein, 0.1 gram lemak, 12.1 gram karbohidrat, dan 0.7 gram serat."
ER008,"Buah atung, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 23 kalori, 0.8 gram protein, 0.2 gram lemak, 5.2 gram karbohidrat, dan 0.0 gram serat."
ER009,"Buah kelenting, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 110 kalori, 1.4 gram protein, 2.1 gram lemak, 21.4 gram karbohidrat, dan 0.0 gram serat."
ER010,"Buah kom, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 264 kalori, 4.0 gram protein, 1.1 gram lemak, 59.6 gram karbohidrat, dan 9.0 gram serat."
ER011,"Buah mentega (Bisbul), segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 39 kalori, 0.7 gram protein, 0.2 gram lemak, 9.7 gram karbohidrat, dan 2.0 gram serat."
ER012,"Buah Naga Merah, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 71 kalori, 1.7 gram protein, 3.1 gram lemak, 9.1 gram karbohidrat, dan 3.2 gram serat."
ER013,"Buah Naga Putih, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 56 kalori, 0.8 gram protein, 1.0 gram lemak, 10.9 gram karbohidrat, dan 3.2 gram serat."
ER014,"Buah negri, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 55 kalori, 1.2 gram protein, 0.1 gram lemak, 12.2 gram karbohidrat, dan 5.2 gram serat."
ER015,"Buah nona, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 101 kalori, 1.7 gram protein, 0.6 gram lemak, 25.2 gram karbohidrat, dan 2.8 gram serat."
ER016,"Buah rotan, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 78 kalori, 0.6 gram protein, 0.3 gram lemak, 18.2 gram karbohidrat, dan 0.0 gram serat."
ER017,"Buah rukam, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 113 kalori, 0.8 gram protein, 0.3 gram lemak, 26.8 gram karbohidrat, dan 7.7 gram serat."
ER018,"Buah ruruhi, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 29 kalori, 2.1 gram protein, 0.7 gram lemak, 3.6 gram karbohidrat, dan 2.6 gram serat."
ER019,"Buah tuppa, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 67 kalori, 0.4 gram protein, 0.2 gram lemak, 15.9 gram karbohidrat, dan 0.0 gram serat."
ER020,"Carica papaya, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 24 kalori, 1.9 gram protein, 0.2 gram lemak, 3.7 gram karbohidrat, dan 1.0 gram serat."
ER021,"Cempedak, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 116 kalori, 3.0 gram protein, 0.4 gram lemak, 28.6 gram karbohidrat, dan 3.4 gram serat."
ER022,"Duku, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 63 kalori, 1.0 gram protein, 0.2 gram lemak, 16.1 gram karbohidrat, dan 4.3 gram serat."
ER023,"Durian, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 134 kalori, 2.5 gram protein, 3.0 gram lemak, 28.0 gram karbohidrat, dan 3.5 gram serat."
ER024,"Duwet, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 80 kalori, 0.5 gram protein, 0.6 gram lemak, 18.2 gram karbohidrat, dan 0.9 gram serat."
ER025,"Embacang, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 98 kalori, 1.4 gram protein, 0.2 gram lemak, 25.4 gram karbohidrat, dan 1.9 gram serat."
ER026,"Encung asam, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 122 kalori, 3.5 gram protein, 4.5 gram lemak, 17.5 gram karbohidrat, dan 9.3 gram serat."
ER027,"Erbis, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 70 kalori, 0.6 gram protein, 0.0 gram lemak, 18.9 gram karbohidrat, dan 7.7 gram serat."
ER028,Gandaria masak," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 68 kalori, 0.7 gram protein, 0.1 gram lemak, 18.0 gram karbohidrat, dan 2.2 gram serat."
ER029,"Gatep, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 191 kalori, 4.5 gram protein, 1.5 gram lemak, 39.7 gram karbohidrat, dan 13.4 gram serat."
ER030,"Jambu air, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 46 kalori, 0.6 gram protein, 0.2 gram lemak, 11.8 gram karbohidrat, dan 2.1 gram serat."
ER031,Jambu biji," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 49 kalori, 0.9 gram protein, 0.3 gram lemak, 12.2 gram karbohidrat, dan 2.4 gram serat."
ER032,Jambu Kristal," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 61 kalori, 0.9 gram protein, 0.3 gram lemak, 15.4 gram karbohidrat, dan 4.5 gram serat."
ER033,"Jambu bol, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 49 kalori, 2.3 gram protein, 0.2 gram lemak, 9.6 gram karbohidrat, dan 3.5 gram serat."
ER034,"Jambu monyet, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 64 kalori, 0.7 gram protein, 0.6 gram lemak, 15.8 gram karbohidrat, dan 1.2 gram serat."
ER035,"Jeruk bali, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 48 kalori, 0.6 gram protein, 0.2 gram lemak, 12.4 gram karbohidrat, dan 0.8 gram serat."
ER036,"Jeruk banjar, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 61 kalori, 0.8 gram protein, 0.2 gram lemak, 14.1 gram karbohidrat, dan 5.4 gram serat."
ER037,Jeruk garut-keprok," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 44 kalori, 0.8 gram protein, 0.3 gram lemak, 10.9 gram karbohidrat, dan 1.6 gram serat."
ER038,"Jeruk Kalamansi, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 39 kalori, 0.3 gram protein, 0.3 gram lemak, 8.9 gram karbohidrat, dan 2.3 gram serat."
ER039,"Jeruk manis, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 45 kalori, 0.9 gram protein, 0.2 gram lemak, 11.2 gram karbohidrat, dan 1.4 gram serat."
ER040,"Jeruk nipis, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 44 kalori, 0.5 gram protein, 0.2 gram lemak, 10.0 gram karbohidrat, dan 0.4 gram serat."
ER041,"Jeruk ragi, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 49 kalori, 0.7 gram protein, 0.2 gram lemak, 11.1 gram karbohidrat, dan 0.5 gram serat."
ER042,"Kawista, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 120 kalori, 3.5 gram protein, 2.5 gram lemak, 20.8 gram karbohidrat, dan 4.6 gram serat."
ER043,"Kedondong masak, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 46 kalori, 1.0 gram protein, 0.1 gram lemak, 10.3 gram karbohidrat, dan 2.6 gram serat."
ER044,"Kedondong, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 47 kalori, 0.5 gram protein, 0.2 gram lemak, 10.4 gram karbohidrat, dan 2.7 gram serat."
ER045,"Kelapa hutan, kering"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 623 kalori, 2.0 gram protein, 52.1 gram lemak, 36.5 gram karbohidrat, dan 15.3 gram serat."
ER046,"Kelapa muda, daging, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 68 kalori, 1.0 gram protein, 0.9 gram lemak, 14.0 gram karbohidrat, dan 0.0 gram serat."
ER047,"Kemang, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 48 kalori, 1.0 gram protein, 0.2 gram lemak, 11.9 gram karbohidrat, dan 1.7 gram serat."
ER048,"Kesemek, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 78 kalori, 0.8 gram protein, 0.4 gram lemak, 20.0 gram karbohidrat, dan 0.6 gram serat."
ER049,"Kokosan, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 86 kalori, 1.6 gram protein, 0.2 gram lemak, 13.0 gram karbohidrat, dan 1.4 gram serat."
ER050,"Kranji, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 315 kalori, 2.1 gram protein, 1.4 gram lemak, 73.5 gram karbohidrat, dan 3.6 gram serat."
ER051,"Langsat, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 56 kalori, 0.9 gram protein, 0.2 gram lemak, 14.3 gram karbohidrat, dan 1.4 gram serat."
ER052,"Lemon, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 34 kalori, 0.5 gram protein, 0.8 gram lemak, 6.2 gram karbohidrat, dan 0.1 gram serat."
ER053,"Lontar, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 27 kalori, 0.4 gram protein, 0.2 gram lemak, 6.0 gram karbohidrat, dan 1.6 gram serat."
ER054,"Mangga, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 52 kalori, 0.7 gram protein, 0.0 gram lemak, 12.3 gram karbohidrat, dan 1.6 gram serat."
ER055,"Mangga benggala, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 63 kalori, 2.4 gram protein, 0.4 gram lemak, 12.4 gram karbohidrat, dan 5.8 gram serat."
ER056,"Mangga gedung, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 44 kalori, 0.7 gram protein, 0.2 gram lemak, 11.2 gram karbohidrat, dan 1.6 gram serat."
ER057,"Mangga golek, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 63 kalori, 0.5 gram protein, 0.2 gram lemak, 16.7 gram karbohidrat, dan 2.3 gram serat."
ER058,"Mangga harumanis, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 46 kalori, 0.4 gram protein, 0.2 gram lemak, 11.9 gram karbohidrat, dan 1.7 gram serat."
ER059,"Mangga indramayu, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 72 kalori, 0.8 gram protein, 0.2 gram lemak, 18.7 gram karbohidrat, dan 2.5 gram serat."
ER060,"Mangga kopek, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 56 kalori, 0.4 gram protein, 0.2 gram lemak, 14.6 gram karbohidrat, dan 2.0 gram serat."
ER061,"Mangga kwini, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 86 kalori, 0.7 gram protein, 0.5 gram lemak, 19.8 gram karbohidrat, dan 6.5 gram serat."
ER062,"Mangga manalagi, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 133 kalori, 1.0 gram protein, 0.1 gram lemak, 32.1 gram karbohidrat, dan 11.8 gram serat."
ER063,"Mangga muda, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 59 kalori, 0.5 gram protein, 0.4 gram lemak, 15.1 gram karbohidrat, dan 0.0 gram serat."
ER064,"Manggis, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 63 kalori, 0.6 gram protein, 0.6 gram lemak, 15.6 gram karbohidrat, dan 1.5 gram serat."
ER065,"Markisa, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 144 kalori, 3.5 gram protein, 1.2 gram lemak, 29.8 gram karbohidrat, dan 11.4 gram serat."
ER066,"Matoa, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 90 kalori, 1.2 gram protein, 0.1 gram lemak, 21.1 gram karbohidrat, dan 0.5 gram serat."
ER067,"Melon, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 37 kalori, 0.6 gram protein, 0.4 gram lemak, 7.8 gram karbohidrat, dan 1.0 gram serat."
ER068,"Menteng, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 65 kalori, 1.7 gram protein, 0.3 gram lemak, 16.1 gram karbohidrat, dan 0.0 gram serat."
ER069,"Nanas palembang, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 58 kalori, 0.7 gram protein, 0.2 gram lemak, 13.3 gram karbohidrat, dan 1.6 gram serat."
ER070,"Nanas, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 40 kalori, 0.6 gram protein, 0.3 gram lemak, 9.9 gram karbohidrat, dan 0.6 gram serat."
ER071,"Nangka masak pohon, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 106 kalori, 1.2 gram protein, 0.3 gram lemak, 27.6 gram karbohidrat, dan 3.7 gram serat."
ER072,"Pala, daging, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 42 kalori, 0.3 gram protein, 0.2 gram lemak, 10.9 gram karbohidrat, dan 0.5 gram serat."
ER073,"Pepaya, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 46 kalori, 0.5 gram protein, 12.0 gram lemak, 12.2 gram karbohidrat, dan 1.6 gram serat."
ER074,"Pisang ambon, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 108 kalori, 1.0 gram protein, 0.8 gram lemak, 24.3 gram karbohidrat, dan 1.9 gram serat."
ER075,"Pisang angleng (pisang ampyang), segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 68 kalori, 1.3 gram protein, 0.2 gram lemak, 17.2 gram karbohidrat, dan 0.8 gram serat."
ER076,"Pisang ayam, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 120 kalori, 1.1 gram protein, 0.2 gram lemak, 26.8 gram karbohidrat, dan 4.1 gram serat."
ER077,"Pisang gapi, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 131 kalori, 1.6 gram protein, 0.1 gram lemak, 31.1 gram karbohidrat, dan 11.7 gram serat."
ER078,"Pisang goroho, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 119 kalori, 1.5 gram protein, 0.2 gram lemak, 27.9 gram karbohidrat, dan 4.6 gram serat."
ER079,"Pisang hijau, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 121 kalori, 1.0 gram protein, 0.1 gram lemak, 28.9 gram karbohidrat, dan 0.4 gram serat."
ER080,"Pisang kayu, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 100 kalori, 1.4 gram protein, 0.5 gram lemak, 23.6 gram karbohidrat, dan 2.6 gram serat."
ER081,"Pisang kepok, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 109 kalori, 0.8 gram protein, 0.5 gram lemak, 26.3 gram karbohidrat, dan 5.7 gram serat."
ER082,"Pisang ketip, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 145 kalori, 1.1 gram protein, 0.3 gram lemak, 34.5 gram karbohidrat, dan 6.6 gram serat."
ER083,"Pisang kidang, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 96 kalori, 1.0 gram protein, 0.2 gram lemak, 22.5 gram karbohidrat, dan 0.6 gram serat."
ER084,"Pisang lampung, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 99 kalori, 1.3 gram protein, 0.2 gram lemak, 25.6 gram karbohidrat, dan 4.3 gram serat."
ER085,"Pisang mas bali ampenan, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 92 kalori, 1.4 gram protein, 0.2 gram lemak, 21.0 gram karbohidrat, dan 3.7 gram serat."
ER086,"Pisang mas bali kopang, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 127 kalori, 1.4 gram protein, 0.2 gram lemak, 31.8 gram karbohidrat, dan 3.7 gram serat."
ER087,"Pisang mas, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 127 kalori, 1.4 gram protein, 0.2 gram lemak, 33.6 gram karbohidrat, dan 1.4 gram serat."
ER088,"Pisang raja sereh, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 108 kalori, 1.3 gram protein, 0.3 gram lemak, 28.2 gram karbohidrat, dan 0.7 gram serat."
ER089,"Pisang raja, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 120 kalori, 1.2 gram protein, 0.2 gram lemak, 31.8 gram karbohidrat, dan 5.3 gram serat."
ER090,"Pisang rotan, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 98 kalori, 1.3 gram protein, 1.2 gram lemak, 20.5 gram karbohidrat, dan 1.0 gram serat."
ER091,"Pisang talas, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 113 kalori, 1.2 gram protein, 0.2 gram lemak, 26.7 gram karbohidrat, dan 4.4 gram serat."
ER092,Pisang tujuh bulan," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 94 kalori, 0.6 gram protein, 0.2 gram lemak, 22.5 gram karbohidrat, dan 3.7 gram serat."
ER093,"Pisang ua, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 128 kalori, 0.8 gram protein, 0.5 gram lemak, 30.2 gram karbohidrat, dan 8.1 gram serat."
ER094,"Pisang uli, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 134 kalori, 1.1 gram protein, 0.5 gram lemak, 35.5 gram karbohidrat, dan 1.4 gram serat."
ER095,"Purut, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 76 kalori, 4.1 gram protein, 1.1 gram lemak, 15.2 gram karbohidrat, dan 1.7 gram serat."
ER096,"Rambutan binjai, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 76 kalori, 0.5 gram protein, 0.2 gram lemak, 18.0 gram karbohidrat, dan 3.8 gram serat."
ER097,"Rambutan, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 69 kalori, 0.9 gram protein, 0.1 gram lemak, 18.1 gram karbohidrat, dan 0.8 gram serat."
ER098,"Salak bali, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 57 kalori, 0.5 gram protein, 0.1 gram lemak, 13.6 gram karbohidrat, dan 1.3 gram serat."
ER099,"Salak medan, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 55 kalori, 0.4 gram protein, 0.2 gram lemak, 12.8 gram karbohidrat, dan 3.2 gram serat."
ER100,"Salak pondoh, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 87 kalori, 0.8 gram protein, 0.4 gram lemak, 20.1 gram karbohidrat, dan 0.0 gram serat."
ER101,"Salak, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 77 kalori, 0.4 gram protein, 0.0 gram lemak, 20.9 gram karbohidrat, dan 0.0 gram serat."
ER102,"Sawo duren, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 64 kalori, 1.0 gram protein, 3.1 gram lemak, 8.0 gram karbohidrat, dan 0.8 gram serat."
ER103,"Sawo kecik, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 111 kalori, 0.9 gram protein, 2.3 gram lemak, 21.6 gram karbohidrat, dan 1.0 gram serat."
ER104,"Sawo Manila, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 92 kalori, 0.5 gram protein, 1.1 gram lemak, 22.4 gram karbohidrat, dan 9.5 gram serat."
ER105,"Semangka, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 28 kalori, 0.5 gram protein, 0.2 gram lemak, 6.9 gram karbohidrat, dan 0.4 gram serat."
ER106,"Sirsak, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 65 kalori, 1.0 gram protein, 0.3 gram lemak, 16.3 gram karbohidrat, dan 3.2 gram serat."
ER107,"Sowa, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 48 kalori, 1.6 gram protein, 0.6 gram lemak, 9.1 gram karbohidrat, dan 45.0 gram serat."
ER108,"Srikaya, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 63 kalori, 1.1 gram protein, 0.5 gram lemak, 13.9 gram karbohidrat, dan 2.1 gram serat."
ER109,"Sukun muda, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 119 kalori, 1.4 gram protein, 0.2 gram lemak, 28.1 gram karbohidrat, dan 1.4 gram serat."
ER110,"Sukun tua, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 126 kalori, 1.6 gram protein, 0.2 gram lemak, 24.5 gram karbohidrat, dan 1.5 gram serat."
ER111,"Vigus, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 44 kalori, 2.4 gram protein, 0.1 gram lemak, 8.3 gram karbohidrat, dan 0.0 gram serat."
ER112,"Wani, segar"," termasuk dalam kategori Buah. Bahan ini per 100 gram-nya memiliki 74 kalori, 0.8 gram protein, 0.3 gram lemak, 17.1 gram karbohidrat, dan 3.1 gram serat."
EP001,Barongko," termasuk dalam kategori Olahan Buah. Bahan ini per 100 gram-nya memiliki 159 kalori, 3.1 gram protein, 5.8 gram lemak, 23.5 gram karbohidrat, dan 0.0 gram serat."
EP002,Dodol nanas," termasuk dalam kategori Olahan Buah. Bahan ini per 100 gram-nya memiliki 338 kalori, 1.5 gram protein, 1.2 gram lemak, 80.3 gram karbohidrat, dan 0.0 gram serat."
EP003,Getuk pisang," termasuk dalam kategori Olahan Buah. Bahan ini per 100 gram-nya memiliki 144 kalori, 1.1 gram protein, 0.4 gram lemak, 34.1 gram karbohidrat, dan 0.4 gram serat."
